"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/02/2015","Transfer from Chequing","PAYMENT - THANK YOU 000001233","300.00","credit","Credit Card Payment","HSBC PREMIER WORLD MasterCard","Corey",""
"1/02/2015","Zipcar","ZIPCAR CANADA INC TORONTO ON","10.17","debit","Rental Car & Taxi","HSBC PREMIER WORLD MasterCard","Corey",""
"1/02/2015","Second Harvest","SECOND HARVEST TORONTO ON","15.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"12/29/2014","Lpc Ridings In","LPC RIDINGS IN TRUST OTTAWA ON","5.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"12/29/2014","Liberal Party","LIBERAL PARTY OTTAWA ON","5.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"12/26/2014","Zipcar","ZIPCAR CANADA INC TORONTO ON","75.00","debit","Rental Car & Taxi","HSBC PREMIER WORLD MasterCard","Corey",""
"12/22/2014","Airbnbuklim Deu","PAYPAL *AIRBNBUKLIM 35314369001 DEU","111.50","debit","Travel","HSBC PREMIER WORLD MasterCard","Corey",""
"12/19/2014","VIA RAIL//EPG348/21DEC MONTREAL QC","VIA RAIL//EPG348/21DEC MONTREAL QC","77.94","debit","Travel","HSBC PREMIER WORLD MasterCard","Corey",""
"12/16/2014","Amazon","Amazon *Marketplce CA WWW.AMAZON.CA ON","37.29","debit","Shopping","HSBC PREMIER WORLD MasterCard","Corey",""
"12/16/2014","Amazon","Amazon.ca AMAZON.CA ON","13.46","debit","Shopping","HSBC PREMIER WORLD MasterCard","Corey",""
"12/15/2014","Transfer from Chequing","PAYMENT - THANK YOU 000000808","150.00","credit","Credit Card Payment","HSBC PREMIER WORLD MasterCard","Corey",""
"12/14/2014","LCBO","LCBO/RAO #420 TORONTO ON","18.95","debit","Alcohol & Bars","HSBC PREMIER WORLD MasterCard","Corey",""
"12/10/2014","Rbc General Insurance","RBC GENERAL INSURANCE MISSISSAUGA ON","31.32","debit","Financial","HSBC PREMIER WORLD MasterCard","Corey",""
"12/09/2014","Interest","INTEREST","10.73","debit","Credit Card Interest","HSBC PREMIER WORLD MasterCard","Corey",""
"12/09/2014","Interest","INTEREST","5.71","debit","Credit Card Interest","HSBC PREMIER WORLD MasterCard","Corey",""
"12/08/2014","Car Go Bc","CAR2GO 855-454-1002 BC","16.94","debit","Car Sharing","HSBC PREMIER WORLD MasterCard","Corey",""
"12/04/2014","Car Go Bc","CAR2GO 855-454-1002 BC","8.34","debit","Car Sharing","HSBC PREMIER WORLD MasterCard","Corey",""
"12/03/2014","Car Go Bc","CAR2GO 855-454-1002 BC","9.73","debit","Car Sharing","HSBC PREMIER WORLD MasterCard","Corey",""
"12/02/2014","Amazon","Amazon *Marketplce CA WWW.AMAZON.CA ON","77.26","debit","Shopping","HSBC PREMIER WORLD MasterCard","Corey",""
"12/02/2014","Zipcar","ZIPCAR CANADA INC TORONTO ON","10.17","debit","Rental Car & Taxi","HSBC PREMIER WORLD MasterCard","Corey",""
"12/02/2014","Second Harvest","SECOND HARVEST TORONTO ON","15.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"11/28/2014","Amazon","Amazon *Marketplce CA WWW.AMAZON.CA ON","26.66","debit","Shopping","HSBC PREMIER WORLD MasterCard","Corey",""
"11/27/2014","Transfer from Chequing","PAYMENT - THANK YOU 000000259","50.00","credit","Credit Card Payment","HSBC PREMIER WORLD MasterCard","Corey",""
"11/26/2014","Liberal Party","LIBERAL PARTY OTTAWA ON","5.00","debit","Charity","HSBC PREMIER WORLD MasterCard","Corey",""
"11/26/2014","Lpc Ridings In","LPC RIDINGS IN TRUST OTTAWA ON","5.00","debit","Doctor","HSBC PREMIER WORLD MasterCard","Corey",""
"11/26/2014","Zipcar","ZIPCAR CANADA INC TORONTO ON","75.00","debit","Rental Car & Taxi","HSBC PREMIER WORLD MasterCard","Corey",""
"11/25/2014","Transfer to Savings","WWW CHIMP NET/DONATION VANCOUVER BC","50.00","debit","Transfer","HSBC PREMIER WORLD MasterCard","Corey",""
"11/24/2014","Globe Mail","THE GLOBE AND MAIL TORONTO ON","15.75","debit","Newspapers & Magazines","HSBC PREMIER WORLD MasterCard","Corey",""
"11/20/2014","Meetup Com Ny","MEETUP.COM 8776338870 NY","52.24","debit","Events","HSBC PREMIER WORLD MasterCard","Corey",""
"11/17/2014","Car Go Bc","CAR2GO 855-454-1002 BC","3.04","debit","Car Sharing","HSBC PREMIER WORLD MasterCard","Corey",""
"11/16/2014","Supercell","GOOGLE *Supercell GOOGLE.COM/CH NS","19.99","debit","Electronics & Software","HSBC PREMIER WORLD MasterCard","Corey",""
"11/16/2014","Supercell","GOOGLE *Supercell GOOGLE.COM/CH NS","9.99","debit","Electronics & Software","HSBC PREMIER WORLD MasterCard","Corey",""
"11/13/2014","Thank You","PAYMENT - THANK YOU 000000456","150.00","credit","Credit Card Payment","HSBC PREMIER WORLD MasterCard","Corey",""
"11/13/2014","Music","GOOGLE *Music GOOGLE.COM/CH NS","1.29","debit","Music","HSBC PREMIER WORLD MasterCard","Corey",""
"11/12/2014","Transfer from HSBC PREMIER","PAYMENT - THANK YOU","69.86","credit","Credit Card Payment","HSBC PREMIER WORLD MasterCard","Corey","Cleaning, Bills"
"11/10/2014","Rbc General Insurance","RBC GENERAL INSURANCE MISSISSAUGA ON","60.48","debit","Financial","HSBC PREMIER WORLD MasterCard","Corey",""
"11/09/2014","Precise Parklink","PRECISE PARKLINK INC TORONTO ON","5.50","debit","Parking","HSBC PREMIER WORLD MasterCard","Corey",""
"11/09/2014","Interest","INTEREST","8.57","debit","Credit Card Interest","HSBC PREMIER WORLD MasterCard","Corey",""
"11/09/2014","Interest","INTEREST","9.30","debit","Credit Card Interest","HSBC PREMIER WORLD MasterCard","Corey",""
"11/08/2014","Yushuoshop Com Shenzhen","YUSHUOSHOP.COM SHENZHEN SHE","90.07","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"11/06/2014","Eb M A","EB *M A K E/W O N D E 8552869808 ON","11.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"11/06/2014","Amazon","Amazon.ca AMAZON.CA ON","25.42","debit","Shopping","HSBC PREMIER WORLD MasterCard","Corey",""
"11/02/2014","Zipcar","ZIPCAR CANADA INC TORONTO ON","10.17","debit","Rental Car & Taxi","HSBC PREMIER WORLD MasterCard","Corey",""
"11/02/2014","Second Harvest","SECOND HARVEST TORONTO ON","15.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"11/01/2014","Supercell","GOOGLE *Supercell GOOGLE.COM/CH NS","9.99","debit","Electronics & Software","HSBC PREMIER WORLD MasterCard","Corey",""
"10/28/2014","Liberal Party","LIBERAL PARTY OTTAWA ON","5.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"10/28/2014","Lpc Ridings In","LPC RIDINGS IN TRUST OTTAWA ON","5.00","debit","Uncategorized","HSBC PREMIER WORLD MasterCard","Corey",""
"10/27/2014","Globe Mail","THE GLOBE AND MAIL TORONTO ON","15.75","debit","Newspapers & Magazines","HSBC PREMIER WORLD MasterCard","Corey",""
"10/26/2014","Zipcar","ZIPCAR CANADA INC TORONTO ON","75.00","debit","Rental Car & Taxi","HSBC PREMIER WORLD MasterCard","Corey",""
"10/24/2014","Thank You","PAYMENT - THANK YOU 000000995","200.00","credit","Credit Card Payment","HSBC PREMIER WORLD MasterCard","Corey",""
